Masked	Next masked
var70=pandas.DataFrame var71=pandas.DataFrame 	var63.fit var67=var63.predict numpy.set_printoptions matplotlib.pyplot.figure 
pylab.scatter pylab.xlabel pylab.show pylab.scatter var1.append_0 var2.append_1 	pylab.show 
pylab.show 	pylab.show 
pylab.show 	pylab.plot var4.tick_params var4.set_xscale pylab.legend pylab.show 
matplotlib.pyplot.figure seaborn.heatmap matplotlib.pyplot.yticks 	var0=var0.drop 
var0.describe 	matplotlib.pyplot.figure matplotlib.pyplot.plot matplotlib.pyplot.legend matplotlib.pyplot.show 
var2=numpy.where 	iloc 
var1.head var0.head 	var1=var2.fit_transform var1.head 
seaborn.countplot seaborn.countplot 	iloc iloc 
var10.head 	var10.describe 
matplotlib.pyplot.figure var4=matplotlib.gridspec.GridSpec matplotlib.pyplot.show var12=matplotlib.pyplot.subplot seaborn.distplot seaborn.distplot var12.legend 	var10.drop 
var0.describe 	columns var4=numpy.arange 
var5.append_0 seaborn.pairplot matplotlib.pyplot.show 	matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.title matplotlib.pyplot.legend matplotlib.pyplot.subplot seaborn.kdeplot seaborn.kdeplot matplotlib.pyplot.tight_layout matplotlib.pyplot.title 
matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.title matplotlib.pyplot.legend matplotlib.pyplot.subplot seaborn.kdeplot seaborn.kdeplot matplotlib.pyplot.tight_layout matplotlib.pyplot.title 	matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.title matplotlib.pyplot.legend matplotlib.pyplot.subplot seaborn.kdeplot seaborn.kdeplot matplotlib.pyplot.tight_layout matplotlib.pyplot.title 
var5=var2.sort_values var6=var2.sort_values 	matplotlib.pyplot.figure matplotlib.pyplot.title seaborn.distplot seaborn.distplot matplotlib.pyplot.legend matplotlib.pyplot.grid 
var17=pandas.value_counts var17.plot 	var11=var11.drop 
var3=matplotlib.pyplot.figure var4=var3.add_subplot var4.hist var5=var3.add_subplot var5.hist matplotlib.pyplot.tight_layout matplotlib.pyplot.show 	var7=numpy.average var8=numpy.std var10=matplotlib.pyplot.figure var4=var10.add_subplot var4.hist var5=var10.add_subplot var5.hist matplotlib.pyplot.tight_layout matplotlib.pyplot.show 
var17=var16.value_counts var18=var16.count var19=var17.apply var20=pandas.Series var21=pandas.DataFrame var20.set_value 	var16=var16.value_counts 
var16=var16.value_counts 	var17=var16.value_counts var18=var16.count var19=var17.apply var20=pandas.Series var21=pandas.DataFrame var20.set_value 
var3.head 	var3.info 
var3.info 	var3.describe 
var3.describe 	import_matplotlib.pyplot 
var2.head 	loc var2.head 
var2=var2.drop var2.head 	var4=pandas.value_counts 
var52=var52.astype var53=var53.astype var54=var54.astype matplotlib.pyplot.figure seaborn.heatmap matplotlib.pyplot.yticks matplotlib.pyplot.title matplotlib.pyplot.show 	matplotlib.pyplot.figure seaborn.heatmap matplotlib.pyplot.title matplotlib.pyplot.yticks matplotlib.pyplot.show 
matplotlib.pyplot.figure seaborn.heatmap matplotlib.pyplot.title matplotlib.pyplot.yticks matplotlib.pyplot.show 	matplotlib.pyplot.figure seaborn.heatmap matplotlib.pyplot.yticks matplotlib.pyplot.title matplotlib.pyplot.show 
var52=var52.astype var53=var53.astype var54=var54.astype matplotlib.pyplot.figure seaborn.heatmap matplotlib.pyplot.yticks matplotlib.pyplot.title matplotlib.pyplot.show 	matplotlib.pyplot.figure seaborn.heatmap matplotlib.pyplot.yticks matplotlib.pyplot.title matplotlib.pyplot.show 
var0=var0.rename var1.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 	var2=var0.drop var1.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 
var31.add_loss 	var31.compile 
import_matplotlib.pyplot import_numpy var11=numpy.arange var12=matplotlib.pyplot.figure matplotlib.pyplot.bar matplotlib.pyplot.bar matplotlib.pyplot.xticks matplotlib.pyplot.legend matplotlib.pyplot.show 	var35=numpy.where 
matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.subplot matplotlib.pyplot.subplot matplotlib.pyplot.subplot 	seaborn.distplot seaborn.distplot matplotlib.pyplot.show 
seaborn.distplot seaborn.distplot matplotlib.pyplot.show 	matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.yscale matplotlib.pyplot.show 
pandas.DataFrame 	var0.head 
seaborn.heatmap seaborn.heatmap matplotlib.pyplot.show 	matplotlib.pyplot.legend matplotlib.pyplot.show matplotlib.pyplot.legend matplotlib.pyplot.show 
matplotlib.pyplot.legend matplotlib.pyplot.show matplotlib.pyplot.legend matplotlib.pyplot.show 	var1=numpy.linspace 
var1=var0.corr var2=numpy.zeros_like var3=seaborn.heatmap matplotlib.pyplot.yticks matplotlib.pyplot.xticks 	loc loc 
loc loc 	seaborn.violinplot seaborn.boxplot 
seaborn.violinplot seaborn.boxplot 	var10=numpy.array var11=numpy.array var14.fit var17.fit var18.fit seaborn.barplot 
var2.head 	var2.info 
var2.info 	matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 
matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 	matplotlib.pyplot.hist 
seaborn.heatmap 	var7.fit 
columns 	var4.head 
var4.head 	seaborn.boxplot 
matplotlib.pyplot.figure matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.axis var8=numpy.log matplotlib.pyplot.subplot matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.axis matplotlib.pyplot.subplot matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.axis matplotlib.pyplot.show 	var9=seaborn.violinplot 
var9=seaborn.violinplot 	seaborn.violinplot 
seaborn.violinplot 	var11=numpy.log var12=numpy.isfinite 
seaborn.violinplot 	loc var6=var5.fit_transform matplotlib.pyplot.figure matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.axis var8=numpy.log matplotlib.pyplot.subplot matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.axis 
loc var6=var5.fit_transform matplotlib.pyplot.figure matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.axis var8=numpy.log matplotlib.pyplot.subplot matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.axis 	loc loc 
seaborn.violinplot 	var25=var19.drop 
matplotlib.pyplot.figure seaborn.heatmap 	var0=pandas.read_csv var0.dropna 
var0.describe 	import_seaborn import_matplotlib.pyplot 
seaborn.countplot 	var1.fit 
var1.drop var2=pandas.DataFrame seaborn.barplot matplotlib.pyplot.xticks matplotlib.pyplot.show 	var2.sort_values seaborn.barplot matplotlib.pyplot.xticks matplotlib.pyplot.show 
var2.sort_values seaborn.barplot matplotlib.pyplot.xticks matplotlib.pyplot.show 	var0.drop 
shape shape shape matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 	var0=var0.drop var0.head 
matplotlib.pyplot.figure matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.legend matplotlib.pyplot.title matplotlib.pyplot.show matplotlib.pyplot.scatter 	var68=pandas.concat 
matplotlib.pyplot.figure matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.legend matplotlib.pyplot.title matplotlib.pyplot.show matplotlib.pyplot.scatter 	var57.restore 
var0.head 	import_os import_pandas import_numpy import_matplotlib.pyplot import_seaborn 
var3=var0.groupby 	var5=var0.corr seaborn.heatmap matplotlib.pyplot.title 
var5=var0.corr seaborn.heatmap matplotlib.pyplot.title 	import_scipy.stats scipy.stats.ttest_1samp 
seaborn.pairplot 	var12=matplotlib.pyplot.figure var13=seaborn.kdeplot var13=seaborn.kdeplot matplotlib.pyplot.title 
var12=matplotlib.pyplot.figure var13=seaborn.kdeplot var13=seaborn.kdeplot matplotlib.pyplot.title 	seaborn.lmplot 
seaborn.lmplot 	seaborn.jointplot seaborn.jointplot 
seaborn.jointplot seaborn.jointplot 	var15=var0.drop 
var0.describe 	seaborn.countplot matplotlib.pyplot.show 
seaborn.countplot matplotlib.pyplot.show 	var0.drop 
numpy.log 	var8.append_0 
var6.head 	var6=var6.reset_index var5=var5.reset_index 
seaborn.countplot 	seaborn.distplot seaborn.distplot 
seaborn.distplot seaborn.distplot 	var3=var2.mean var4=var1.std var5=var1.mean 
matplotlib.pyplot.figure matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.legend matplotlib.pyplot.title matplotlib.pyplot.show matplotlib.pyplot.scatter 	var61=pandas.concat 
matplotlib.pyplot.figure seaborn.heatmap 	var3=var2.fit_transform var4=pandas.DataFrame var4.head 
seaborn.heatmap 	seaborn.countplot 
seaborn.countplot 	matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.subplot 
matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.subplot 	var0.drop var0.head 
import_matplotlib.gridspec matplotlib.pyplot.figure var9=matplotlib.gridspec.GridSpec matplotlib.pyplot.show var10=matplotlib.pyplot.subplot seaborn.distplot seaborn.distplot var10.set_xlabel var10.set_title 	var13=pandas.concat 
var13=pandas.concat 	var15.fit var16=var15.predict 
var1.plot matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel shape shape 	var0=var0.drop var0.head 
matplotlib.pyplot.axis matplotlib.pyplot.ylabel 	matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 
matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 	var0=var0.drop 
import_seaborn import_matplotlib.gridspec var1=matplotlib.gridspec.GridSpec matplotlib.pyplot.figure matplotlib.pyplot.show var2=matplotlib.pyplot.subplot seaborn.distplot seaborn.distplot var2.set_xlabel var2.set_title 	var0=var0.drop 
matplotlib.pyplot.figure seaborn.distplot 	var0.head 
seaborn.countplot 	var0=var0.drop loc loc 
seaborn.countplot 	loc loc 
var1=pandas.value_counts 	matplotlib.pyplot.figure var1.plot matplotlib.pyplot.ylabel matplotlib.pyplot.xlabel 
var12=pandas.value_counts 	var12.plot 
var12.plot 	loc loc 
var22=pandas.value_counts 	var22.plot 
var22.plot 	loc loc 
var0.head 	loc 
var7.head 	var5.head 
shape 	var7=pandas.value_counts var7.plot 
var7=pandas.value_counts var7.plot 	seaborn.distplot 
seaborn.distplot 	var11=matplotlib.gridspec.GridSpec seaborn.distplot seaborn.distplot var12.set_xlabel var12.set_title 
var11=matplotlib.gridspec.GridSpec seaborn.distplot seaborn.distplot var12.set_xlabel var12.set_title 	var13=var0.corr seaborn.heatmap 
var13=var0.corr seaborn.heatmap 	var0=var0.drop var0.head 
var19=pandas.concat var19.head 	var12=var14.add_subplot var12.set_xlabel var12.set_ylabel var12.set_title var12.legend var12.grid var12.scatter 
var7=pandas.value_counts var7.plot 	var26=var25.drop var6=pandas.DataFrame 
var5=numpy.arange matplotlib.pyplot.bar matplotlib.pyplot.xticks matplotlib.pyplot.show 	matplotlib.pyplot.hist matplotlib.pyplot.xlim matplotlib.pyplot.show 
var0.info 	shape 
shape 	seaborn.countplot 
seaborn.countplot 	seaborn.kdeplot 
seaborn.kdeplot 	matplotlib.pyplot.figure seaborn.stripplot 
matplotlib.pyplot.figure seaborn.stripplot 	seaborn.violinplot 
var0.head 	var1=matplotlib.pyplot.scatter var2=matplotlib.pyplot.scatter matplotlib.pyplot.legend matplotlib.pyplot.title 
var1=matplotlib.pyplot.scatter var2=matplotlib.pyplot.scatter matplotlib.pyplot.legend matplotlib.pyplot.title 	var1=matplotlib.pyplot.scatter var2=matplotlib.pyplot.scatter matplotlib.pyplot.legend matplotlib.pyplot.title 
var1=matplotlib.pyplot.scatter var2=matplotlib.pyplot.scatter matplotlib.pyplot.legend matplotlib.pyplot.title 	var0.drop 
matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.subplot matplotlib.pyplot.title matplotlib.pyplot.xlabel 	matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.subplot matplotlib.pyplot.title matplotlib.pyplot.xlabel 
matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.subplot matplotlib.pyplot.title matplotlib.pyplot.xlabel 	import_seaborn matplotlib.pyplot.figure matplotlib.pyplot.title seaborn.heatmap 
import_seaborn matplotlib.pyplot.figure matplotlib.pyplot.title seaborn.heatmap 	loc var12=matplotlib.pyplot.figure var13=matplotlib.pyplot.subplot var13.set_ylabel var13.set_title var14=matplotlib.pyplot.subplot var14.set_ylabel var14.set_title 
loc var12=matplotlib.pyplot.figure var13=matplotlib.pyplot.subplot var13.set_ylabel var13.set_title var14=matplotlib.pyplot.subplot var14.set_ylabel var14.set_title 	var15=var1.copy var1=var1.drop 
matplotlib.pyplot.show 	loc 
var4=var4.as_matrix 	loc 
import_matplotlib.gridspec seaborn.distplot seaborn.distplot var17.set_xlabel var17.set_title 	var10.fit var12.append_0 var18.append_1 
matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title 	seaborn.violinplot 
seaborn.violinplot 	var6=var5.pop 
matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.subplot matplotlib.pyplot.show 	dt 
var0.tail 	var0.describe 
var0.describe 	matplotlib.pyplot.scatter matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 
var1.head 	matplotlib.pyplot.hist matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 
matplotlib.pyplot.hist matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 	matplotlib.pyplot.hist matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 
import_seaborn seaborn.heatmap 	seaborn.countplot 
seaborn.distplot 	seaborn.countplot 
seaborn.countplot 	seaborn.jointplot 
seaborn.jointplot 	var0=var0.drop var0.head 
var0=var0.drop var0.head 	ix ix 
var0.head 	var2=var0.drop 
matplotlib.pyplot.legend matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.show 	var0.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 
var0.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 	matplotlib.pyplot.show 
matplotlib.pyplot.subplot matplotlib.pyplot.scatter matplotlib.pyplot.subplot matplotlib.pyplot.scatter 	var3.describe 
var8.head 	iloc 
matplotlib.pyplot.scatter 	matplotlib.pyplot.scatter 
var0.plot 	seaborn.jointplot 
seaborn.boxplot 	var10=seaborn.boxplot var10=seaborn.stripplot 
var10=seaborn.boxplot var10=seaborn.stripplot 	seaborn.violinplot 
var0.boxplot 	var10=seaborn.boxplot var10=seaborn.stripplot 
var10=seaborn.boxplot var10=seaborn.stripplot 	var10=seaborn.boxplot var10=seaborn.stripplot 
import_matplotlib.pyplot matplotlib.pyplot.plot matplotlib.pyplot.show 	matplotlib.pyplot.plot matplotlib.pyplot.show 
matplotlib.pyplot.plot matplotlib.pyplot.show 	matplotlib.pyplot.plot matplotlib.pyplot.show 
seaborn.heatmap 	dt 
matplotlib.pyplot.figure 	matplotlib.pyplot.figure dt 
matplotlib.pyplot.figure dt 	matplotlib.pyplot.figure 
var0.describe 	var2.remove var2.remove var2.remove 
matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 	var3.fit var4=var3.transform var5=var3.transform iloc iloc 
var1=var0.drop var1.head 	var1.describe 
var37.describe 	var38=numpy.linspace var39.append_0 
var39.max 	var39.argmax 
var44.sum 	var47=var23.predict 
seaborn.countplot 	var11=var10.drop var13=var5.drop var15=var6.drop 
import_seaborn import_matplotlib.pyplot var1=var1.set_index var1=var1.sort_values matplotlib.pyplot.figure var2=seaborn.heatmap matplotlib.pyplot.title matplotlib.pyplot.show 	matplotlib.pyplot.figure var2=seaborn.distplot matplotlib.pyplot.show 
matplotlib.pyplot.figure var2=seaborn.distplot matplotlib.pyplot.show 	matplotlib.pyplot.figure var2=seaborn.violinplot matplotlib.pyplot.show 
matplotlib.pyplot.figure var2=seaborn.violinplot matplotlib.pyplot.show 	matplotlib.pyplot.figure var2=matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.show 
matplotlib.pyplot.figure var2=matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.show 	matplotlib.pyplot.figure var2=matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.show 
matplotlib.pyplot.figure var2=matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.show 	var0.hist matplotlib.pyplot.show 
var0.hist matplotlib.pyplot.show 	matplotlib.pyplot.figure var2=seaborn.countplot matplotlib.pyplot.show 
seaborn.countplot matplotlib.pyplot.title matplotlib.pyplot.show 	matplotlib.pyplot.tight_layout matplotlib.pyplot.show seaborn.boxplot 
matplotlib.pyplot.tight_layout matplotlib.pyplot.show seaborn.boxplot 	var0.drop 
var3=pandas.value_counts var3.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title 	var2.drop var2.head 
var8=pandas.concat var8=pandas.melt matplotlib.pyplot.figure seaborn.violinplot matplotlib.pyplot.xticks 	seaborn.heatmap 
seaborn.heatmap 	import_tensorflow 
matplotlib.pyplot.figure matplotlib.pyplot.scatter 	matplotlib.pyplot.figure matplotlib.pyplot.scatter 
matplotlib.pyplot.figure var4=matplotlib.gridspec.GridSpec var5=matplotlib.pyplot.subplot seaborn.distplot seaborn.distplot var5.set_xlabel var5.set_title 	var6=pandas.read_csv var6.drop var7=pandas.concat 
xgboost.plot_importance 	var19=var18.predict 
var0.corr 	var0.head 
matplotlib.pyplot.show 	loc var4=var4.as_matrix loc var5=var5.as_matrix 
var3=var1.to_dict 	var8=pandas.concat var9=pandas.concat var13=var4.value_counts var14=var5.value_counts var15=pandas.concat 
var16=var0.corr var19=numpy.corrcoef seaborn.set var20=seaborn.heatmap matplotlib.pyplot.show 	columns matplotlib.pyplot.figure var23=matplotlib.gridspec.GridSpec matplotlib.pyplot.show var24=matplotlib.pyplot.subplot var25=pandas.concat var26=pandas.melt seaborn.violinplot var24.set_xlabel var24.set_title 
var1.plot matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 	ix ix 
matplotlib.pyplot.hist matplotlib.pyplot.ylabel matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 	var5.fit var6=var5.predict 
matplotlib.pyplot.figure seaborn.countplot 	import_sklearn.metrics 
matplotlib.pyplot.figure var6=matplotlib.pyplot.subplot var6.set_xlim seaborn.distplot seaborn.distplot 	matplotlib.pyplot.figure var6=matplotlib.pyplot.subplot seaborn.distplot seaborn.distplot seaborn.distplot 
matplotlib.pyplot.figure matplotlib.pyplot.scatter 	var12=var10.transform 
var0.head 	var0=pandas.concat 
var0.head 	var1=var0.drop var3.fit var4=var3.predict 
var24.head 	var24.plot 
var0.head 	loc loc 
var31.describe 	var32=matplotlib.pyplot.figure var33=var32.add_subplot var34=var33.hist 
var32=matplotlib.pyplot.figure var33=var32.add_subplot var34=var33.hist 	var32=matplotlib.pyplot.figure var33=var32.add_subplot var34=var33.hist 
var1.describe 	matplotlib.pyplot.figure matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.xlim matplotlib.pyplot.ylim matplotlib.pyplot.show 
matplotlib.pyplot.figure matplotlib.pyplot.scatter matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.xlim matplotlib.pyplot.ylim matplotlib.pyplot.show 	shape 
matplotlib.pyplot.figure matplotlib.pyplot.title matplotlib.pyplot.show 	var8=pandas.DataFrame var8.dropna 
var6=numpy.concatenate 	iloc 
var0.info 	var1=pandas.DataFrame var3=numpy.concatenate var4=pandas.DataFrame import_seaborn import_matplotlib.pyplot var4=pandas.DataFrame var4.fillna var4=var4.fillna var10=var4.drop var13=pandas.DataFrame var14=pandas.DataFrame var15=numpy.reshape __class__ var21=pandas.DataFrame var13=var13.append_0 var15=var24.fit_transform 
import_seaborn import_matplotlib.pyplot matplotlib.pyplot.ylabel matplotlib.pyplot.title var1=seaborn.boxplot import_matplotlib.pyplot var1.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks 	var0=var0.fillna 
var1.plot matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 	var0=var0.drop 
import_matplotlib.pyplot import_seaborn import_matplotlib.gridspec matplotlib.pyplot.figure var5=matplotlib.gridspec.GridSpec matplotlib.pyplot.show var6=matplotlib.pyplot.subplot seaborn.distplot seaborn.distplot var6.set_xlabel var6.set_title 	var7=numpy.matrix var8=numpy.matrix 
matplotlib.pyplot.figure seaborn.heatmap 	seaborn.countplot 
var3.plot matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 	var4.plot matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 
matplotlib.pyplot.figure matplotlib.pyplot.hist matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title 	matplotlib.pyplot.figure matplotlib.pyplot.hist matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title 
matplotlib.pyplot.figure matplotlib.pyplot.hist matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title 	matplotlib.pyplot.figure matplotlib.pyplot.hist matplotlib.pyplot.hist matplotlib.pyplot.legend matplotlib.pyplot.show 
matplotlib.pyplot.figure matplotlib.pyplot.hist matplotlib.pyplot.hist matplotlib.pyplot.legend matplotlib.pyplot.show 	matplotlib.pyplot.figure matplotlib.pyplot.hist matplotlib.pyplot.hist matplotlib.pyplot.legend matplotlib.pyplot.show 
matplotlib.pyplot.title matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 	var0=var0.drop var0.head 
var0.head 	seaborn.countplot 
ix ix ix 	var14=var13.transform var15=var13.transform var16=var13.transform 
var6=var0.drop matplotlib.pyplot.figure matplotlib.pyplot.title matplotlib.pyplot.show 	matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.yscale matplotlib.pyplot.show 
matplotlib.pyplot.title matplotlib.pyplot.show 	var8=numpy.cumsum matplotlib.pyplot.plot matplotlib.pyplot.plot var8=numpy.cumsum matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.legend matplotlib.pyplot.title matplotlib.pyplot.show 
var8=numpy.cumsum matplotlib.pyplot.plot matplotlib.pyplot.plot var8=numpy.cumsum matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.legend matplotlib.pyplot.title matplotlib.pyplot.show 	var10=seaborn.pairplot var10.savefig 
seaborn.lmplot matplotlib.pyplot.show 	matplotlib.pyplot.show 
matplotlib.pyplot.show 	var8=numpy.cumsum matplotlib.pyplot.plot matplotlib.pyplot.plot var8=numpy.cumsum matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.legend matplotlib.pyplot.title matplotlib.pyplot.show 
var8=numpy.cumsum matplotlib.pyplot.plot matplotlib.pyplot.plot var8=numpy.cumsum matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.legend matplotlib.pyplot.title matplotlib.pyplot.show 	matplotlib.pyplot.show 
var0.hist matplotlib.pyplot.show 	var0=var0.sample 
var0.head 	iloc 
iloc 	var2=numpy.array var3=numpy.array 
seaborn.heatmap 	var27=numpy.sum 
loc 	var7=var6.sample 
seaborn.countplot matplotlib.pyplot.title matplotlib.pyplot.show 	var13=var12.corr seaborn.heatmap matplotlib.pyplot.show 
var13=var12.corr seaborn.heatmap matplotlib.pyplot.show 	seaborn.boxplot seaborn.boxplot seaborn.boxplot seaborn.boxplot matplotlib.pyplot.show 
seaborn.boxplot seaborn.boxplot seaborn.boxplot seaborn.boxplot matplotlib.pyplot.show 	seaborn.boxplot seaborn.boxplot seaborn.boxplot seaborn.boxplot matplotlib.pyplot.show 
seaborn.boxplot seaborn.boxplot seaborn.boxplot seaborn.boxplot matplotlib.pyplot.show 	var12=var12.drop 
var9.fit matplotlib.pyplot.scatter seaborn.despine matplotlib.pyplot.title 	matplotlib.pyplot.plot matplotlib.pyplot.title seaborn.despine var9.fit var10.append_0 
var12.fit matplotlib.pyplot.scatter seaborn.despine 	var13.fit matplotlib.pyplot.scatter seaborn.despine 
var9.fit matplotlib.pyplot.scatter seaborn.despine matplotlib.pyplot.title 	var17=matplotlib.pyplot.gca 
var0.head 	var1=var0.drop 
ix var1.head 	ix var2.head 
var2=pandas.value_counts 	var2.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title 
var2.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title 	ix ix 
ix ix 	var6=numpy.array var7=numpy.array 
var9=numpy.concatenate 	iloc iloc iloc 
var1.describe 	var1.plot matplotlib.pyplot.show 
var1.plot matplotlib.pyplot.show 	var2=seaborn.FacetGrid var2=var2.set 
var2=seaborn.FacetGrid var2=var2.set 	loc loc 
var8.describe 	seaborn.heatmap 
seaborn.heatmap 	var10=pandas.concat 
seaborn.distplot seaborn.distplot 	seaborn.distplot 
seaborn.distplot 	matplotlib.pyplot.hist 
matplotlib.pyplot.hist 	matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 
matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 	matplotlib.pyplot.hist 
seaborn.boxplot 	seaborn.boxplot 
seaborn.boxplot 	seaborn.regplot 
seaborn.regplot 	matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 
matplotlib.pyplot.figure var3=matplotlib.gridspec.GridSpec matplotlib.pyplot.show var4=matplotlib.pyplot.subplot seaborn.distplot seaborn.distplot var4.set_xlabel var4.set_title 	var5=var0.corr seaborn.heatmap 
var5=var0.corr seaborn.heatmap 	var0=var0.drop 
var0.head 	var7=pandas.DataFrame var7.head 
var7=pandas.DataFrame var7.head 	var8=var0.pop 
var9.head 	var11=var9.sample var11=pandas.concat loc 
var11.head 	var13.head 
var13.head 	var16.fit 
seaborn.countplot 	shape var8=pandas.concat 
var1=pandas.value_counts var2=numpy.log10 var1.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 	var2.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 
var2.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 	var0=var0.drop var0.head 
var1=pandas.value_counts var2=numpy.log10 var1.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show var2.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.show 	var0=var0.drop var0.head 
var29=matplotlib.pyplot.figure var30=var29.gca var30.plot var30.plot 	var34=numpy.concatenate var37=var33.predict var38=var33.predict var29=matplotlib.pyplot.figure var30=var29.gca var30.scatter var30.scatter 
